effect,serial_id,parameter,delta,qr_svd_resolution,resolved
quantization_true_b,46,C,2.440847524098899e-11,1.887379141862766e-15,True
quantization_true_b,47,A,3.480030130731393e-08,9.237055564881302e-14,True
quantization_true_b,47,C,-1.2825375206304557e-09,9.2148511043888e-15,True
quantization_true_b,48,A,4.269299580528241e-09,3.019806626980426e-14,True
quantization_true_b,48,C,1.423725581872759e-10,3.3306690738754696e-15,True
quantization_true_b,49,A,-1.6970496119483869e-09,4.973799150320701e-14,True
quantization_true_b,49,C,1.480903621953189e-09,4.440892098500626e-15,True
quantization_true_b,50,A,-1.725583320677515e-08,1.1812772982011666e-13,True
quantization_true_b,50,C,9.598827288570533e-11,5.9674487573602164e-15,True
quantization_true_b,51,A,5.064769759144383e-08,1.3589129821411916e-13,True
quantization_true_b,51,C,-1.8402240842263495e-09,8.548717289613705e-15,True
quantization_true_b,52,A,3.333197629018514e-08,2.6645352591003757e-14,True
quantization_true_b,52,C,-1.065582400094911e-09,4.551914400963142e-15,True
quantization_true_b,53,A,-1.5004080644587248e-08,4.1744385725905886e-14,True
quantization_true_b,53,C,5.917076273398436e-10,1.5543122344752192e-15,True
quantization_true_b,54,A,-1.5382246587591908e-09,8.260059303211165e-14,True
quantization_true_b,54,C,-4.338414905102894e-10,2.831068712794149e-15,True
quantization_true_b,55,A,-1.1491234630511826e-08,1.545430450278218e-13,True
quantization_true_b,55,C,1.5981748147098074e-09,1.8207657603852567e-14,True
quantization_true_b,56,A,-4.3821578366021186e-08,7.72715225139109e-14,True
quantization_true_b,56,C,7.695736270463271e-10,1.27675647831893e-14,True
quantization_true_b,57,A,-7.921913791619772e-09,3.4638958368304884e-14,True
quantization_true_b,57,C,-6.299633037443186e-10,5.329070518200751e-15,True
quantization_true_b,58,A,1.1562237389739494e-08,5.062616992290714e-14,True
quantization_true_b,58,C,1.6629830845715787e-10,8.104628079763643e-15,True
quantization_true_b,59,A,1.3522457820158706e-08,7.638334409421077e-14,True
quantization_true_b,59,C,-1.4276295978721265e-09,5.329070518200751e-15,True
quantization_true_b,60,A,1.598470600328028e-08,9.325873406851315e-14,True
quantization_true_b,60,C,1.1787765208381984e-09,2.1538326677728037e-14,True
quantization_true_b,61,A,-7.251177436273792e-10,1.2079226507921703e-13,True
quantization_true_b,61,C,2.9838420623207185e-10,1.0769163338864018e-14,True
quantization_true_b,62,A,-3.0372770964959273e-09,4.440892098500626e-14,True
quantization_true_b,62,C,5.405970948668681e-10,1.0019762797242038e-14,True
quantization_true_b,63,A,-1.2888166978086701e-08,3.4638958368304884e-14,True
quantization_true_b,63,C,5.943778524919452e-10,7.355227538141662e-15,True
quantization_true_b,64,A,1.6583604711684075e-08,4.973799150320701e-14,True
quantization_true_b,64,C,-8.029039377799307e-10,3.3861802251067274e-15,True
quantization_true_b,65,A,-1.759007606239038e-08,1.1457501614131615e-13,True
quantization_true_b,65,C,1.644513900056488e-10,5.134781488891349e-15,True
quantization_true_b,66,A,-1.3386934227810343e-08,5.062616992290714e-14,True
quantization_true_b,66,C,1.6329571028705914e-10,9.43689570931383e-16,True
quantization_true_b,67,A,-5.972252026253955e-09,1.1812772982011666e-13,True
quantization_true_b,67,C,-1.8157075842850645e-10,2.042810365310288e-14,True
quantization_true_b,68,A,-3.437812967632681e-08,1.234568003383174e-13,True
quantization_true_b,68,C,1.2741835364593612e-10,1.73749903353837e-14,True
quantization_true_b,69,A,-2.330315318488374e-08,4.263256414560601e-14,True
quantization_true_b,69,C,-7.953269154370446e-10,7.327471962526033e-15,True
quantization_true_b,70,A,3.1097844299665667e-09,1.0658141036401503e-14,True
quantization_true_b,70,C,8.078413493706194e-10,3.219646771412954e-15,True
quantization_true_b,71,A,4.546429455132284e-08,1.0391687510491465e-13,True
quantization_true_b,71,C,-5.670526687096e-10,8.743006318923108e-16,True
quantization_true_b,72,A,-3.039500118262595e-08,1.1812772982011666e-13,True
quantization_true_b,72,C,5.80506975822459e-10,4.274358644806853e-15,True
quantization_true_b,73,A,1.2808701654876131e-08,7.37188088351104e-14,True
quantization_true_b,73,C,4.086034843808761e-10,6.8833827526759706e-15,True
quantization_true_b,74,A,2.7437442540190204e-08,1.900701818158268e-13,True
quantization_true_b,74,C,3.5528568975706776e-10,3.1363800445660672e-15,True
quantization_true_b,75,A,-6.202631297469452e-09,1.0125233984581428e-13,True
quantization_true_b,75,C,-9.765065422939756e-10,1.7430501486614958e-14,True
quantization_true_b,76,A,3.732878717244148e-08,2.0250467969162855e-13,True
quantization_true_b,76,C,-5.354865439954892e-10,4.6629367034256575e-15,True
quantization_true_b,77,A,-4.135543463235081e-09,2.220446049250313e-14,True
quantization_true_b,77,C,5.373396172458911e-12,2.525757381022231e-15,True
quantization_true_b,78,A,1.3483980154660458e-08,9.947598300641403e-14,True
quantization_true_b,78,C,5.20213205845721e-10,4.9404924595819466e-15,True
