state_id,serial_id,historical_C_status,frozen_C_status,joint_C_status
failed-only-best-6,38,improved,regressed,unqualified
failed-only-best-6,39,regressed,regressed,unqualified
failed-only-best-6,40,regressed,improved,unqualified
failed-only-best-6,41,regressed,regressed,unqualified
failed-only-best-6,42,improved,improved,unqualified
failed-only-best-6,43,regressed,regressed,unqualified
failed-only-best-6,44,regressed,improved,unqualified
failed-only-best-6,45,improved,regressed,unqualified
failed-only-best-6,46,regressed,regressed,unqualified
failed-only-best-6,47,improved,improved,unqualified
failed-only-best-6,48,improved,improved,unqualified
failed-only-best-6,49,improved,regressed,unqualified
failed-only-best-6,50,regressed,improved,unqualified
failed-only-best-6,51,regressed,regressed,unqualified
failed-only-best-6,52,improved,regressed,unqualified
failed-only-best-6,53,regressed,regressed,unqualified
failed-only-best-6,54,regressed,regressed,unqualified
failed-only-best-6,55,regressed,improved,unqualified
failed-only-best-6,56,improved,improved,unqualified
failed-only-best-6,57,improved,regressed,unqualified
failed-only-best-6,58,improved,improved,unqualified
failed-only-best-6,59,improved,regressed,unqualified
failed-only-best-6,60,regressed,improved,unqualified
failed-only-best-6,61,regressed,improved,unqualified
failed-only-best-6,62,regressed,improved,unqualified
failed-only-best-6,63,regressed,improved,unqualified
failed-only-best-6,64,improved,improved,unqualified
failed-only-best-6,65,regressed,regressed,unqualified
failed-only-best-6,66,improved,regressed,unqualified
failed-only-best-6,67,improved,improved,unqualified
failed-only-best-6,68,regressed,regressed,unqualified
failed-only-best-6,69,regressed,improved,unqualified
failed-only-best-6,70,improved,improved,unqualified
failed-only-best-6,71,improved,regressed,unqualified
failed-only-best-6,72,improved,improved,unqualified
failed-only-best-6,73,regressed,improved,unqualified
failed-only-best-6,74,improved,improved,unqualified
failed-only-best-6,75,regressed,improved,unqualified
failed-only-best-6,76,improved,regressed,unqualified
failed-only-best-6,77,regressed,improved,unqualified
failed-only-best-6,78,improved,improved,unqualified
failed-only-best-6,79,improved,regressed,unqualified
failed-only-best-6,80,improved,improved,unqualified
failed-only-best-6,81,regressed,regressed,unqualified
failed-only-best-6,82,improved,improved,unqualified
failed-only-best-6,83,regressed,regressed,unqualified
failed-only-best-6,84,improved,improved,unqualified
failed-only-best-6,85,improved,improved,unqualified
failed-only-best-6,86,regressed,regressed,unqualified
failed-only-best-6,87,regressed,regressed,unqualified
failed-only-best-6,88,improved,improved,unqualified
