state_id,component,mode,atom_index,seed,qualified,selected,minimum,maximum,mean,underflow_count,below_0_1,effective_n,owner,alpha,variance,scale_equation,denominator,denominator_margin,linear_weight_share
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,61,0.0,6.417360221992651e-05,5.5201399007387406e-14,200.0,1.0,1.4560775412432125e-10
baseline-best-28,0,joint,,checkpoint,False,True,0.6892971328324513,0.9999868782894606,0.9540088421034401,0,0,199.3831164116856,62,0.1,2.529291558137574e-06,-6.311514267655525e-13,173.46608497985892,0.8673304248992946,6.73640475456277e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.14073146091245223,0.9999606984922765,0.8655138245152557,0,0,190.92713372233453,63,0.30000000000000004,3.1009245917387614e-07,1.0209951757823126e-11,132.62316401195747,0.6631158200597873,2.4367805326251616e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.6887194096133504,0.9999997391550448,0.9165854091266806,0,0,198.57693409588038,64,0.2,5.261751558416433e-07,-7.579278752103687e-12,152.88805085282684,0.7644402542641342,6.899756238860751e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,65,0.0,8.831558638654518e-07,-1.9791945859992667e-14,200.0,1.0,1.0580435997348063e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.21108724292301925,0.9999979315480443,0.8131490185544845,0,0,180.46475922512553,66,0.4,2.388063891595722e-05,-5.039198368876538e-10,114.33527486926738,0.5716763743463369,2.591480797194413e-09
baseline-best-28,0,joint,,checkpoint,False,True,1.1336057925594881e-34,0.999999889485224,0.5668142190010843,0,62,129.97344895091925,67,0.7999999999999999,3.393527890234462e-06,9.293875504243767e-10,47.108977800223116,0.2355448890011156,2.0752490483700598e-07
baseline-best-28,0,joint,,checkpoint,False,True,2.5741087065050374e-17,0.9999998665294783,0.7877710458406465,0,14,177.19170095000783,68,0.4,2.026021466686649e-06,1.7734223390615613e-09,109.25968032649982,0.5462984016324991,4.846856330252335e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,69,0.0,9.943669891686182e-07,2.828448586456034e-12,200.0,1.0,9.397108105050485e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.4944606370576734,0.999999667762818,0.9130214931738245,0,0,197.24357963552757,70,0.2,1.2870637146359706e-06,-2.3189401220673728e-10,152.17526766225566,0.7608763383112783,2.5693610156428916e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.8839763505166551,0.9999331409411439,0.9549406130720783,0,0,199.74385947079253,71,0.1,1.2621460850896283e-06,-4.2442969323629606e-11,173.65243917358669,0.8682621958679334,1.399058489972952e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.5155640767352635,0.9999999645900334,0.9058854118985955,0,0,194.48538680900603,72,0.2,7.682786855769253e-05,-9.409675697227567e-12,150.74805140720977,0.7537402570360489,2.837309964643892e-10
baseline-best-28,0,joint,,checkpoint,False,True,0.10462175598947768,0.9999997390640395,0.8381765743824495,0,0,189.551056443776,73,0.4,1.480398790832475e-06,3.5020274133227524e-10,119.34078603486032,0.5967039301743016,7.514741331415528e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.24388063669441082,0.9997831897163295,0.7912874011098517,0,0,184.9205513998262,74,0.6,4.5153731630546315e-07,1.4416918216107825e-09,98.96477409381313,0.4948238704690657,1.2090366129508318e-06
baseline-best-28,0,joint,,checkpoint,False,True,0.3191532956602584,0.9999885974280991,0.8745665926554964,0,0,193.6314827154033,75,0.30000000000000004,1.7937876108517632e-07,-4.526383121665311e-09,134.43371764000563,0.6721685882000281,4.620760977989898e-07
baseline-best-28,0,joint,,checkpoint,False,True,7.39595000841208e-49,0.9999986994786392,0.7218342904410915,0,21,166.83837987658043,76,0.6,2.2538183128633797e-06,1.6046725072924852e-10,85.07415196006107,0.42537075980030536,1.3641115253906337e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.43656306123625277,0.9999994623494958,0.8666504995288407,0,0,190.44001407525394,77,0.30000000000000004,0.000405477674335489,-4.157444403851025e-12,132.8504990146745,0.6642524950733726,6.35973904790806e-11
baseline-best-28,0,joint,,checkpoint,False,True,1.9753761907109888e-05,0.9996445900814388,0.6350743009328517,0,33,150.92697951722553,78,1.0,5.226787205590169e-08,-1.3810730337127097e-11,56.304182067915576,0.2815209103395779,0.00039623541771553603
baseline-best-28,0,joint,,checkpoint,False,True,9.514583542624189e-06,0.9999649356900299,0.6438644444120465,0,40,146.85397689932904,79,0.7,9.743187173130048e-08,-2.3779590339108297e-08,65.6110662714494,0.328055331357247,1.5691877896452138e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.681827182940934,0.9999931215485733,0.9533977791857303,0,0,199.13729091505792,80,0.1,5.938297857055367e-07,-1.3362479530218868e-10,173.3438723963172,0.8667193619815861,3.082859076065384e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.12727238710521482,0.9999309853672654,0.7267430406957984,0,0,180.8412944212262,81,1.0,8.183506921552429e-07,4.464163538830945e-09,74.63793002050494,0.3731896501025247,7.319015776490855e-06
baseline-best-28,0,joint,,checkpoint,False,True,0.4422598525254482,0.999994747478308,0.831479977269475,0,0,194.00202125604028,82,0.5,5.806306764874568e-07,1.3654467001522619e-09,111.86289005871328,0.5593144502935664,4.5926572713404187e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.09089254642666568,0.9999434765765683,0.7385323273569783,0,1,180.9151339020161,83,0.8999999999999999,7.558889697629851e-07,1.207465782308716e-09,78.97713651360509,0.3948856825680254,4.31239943112711e-06
baseline-best-28,0,joint,,checkpoint,False,True,0.0001427007150704427,0.9998172494403014,0.8111664459231142,0,3,187.34409067877385,84,0.5,2.975665559011962e-07,1.6478934328212347e-09,107.80018378944101,0.539000918947205,1.0332776673949703e-06
