dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-weak,mixed-double,monolithic,24,14902,this-search,10,9,10,13,103,0,13,1,0,0,0.112965,0.295141208,0.12434496,0.113776542,28.098630875,26.797983208,210960384
regular-weak,mixed-double,assembled,24,14902,sum-of-components,18,16,18,13,103,0,13,1,0,0,0.109506167,0,0,0.117668459,28.082398667,26.779597333,210960384
regular-weak,mixed-double,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.036396667,0.062770709,0.027313000000000004,0.036152167,0.635235542,0.109513291,214679552
regular-weak,mixed-double,01:weak-1e-4:1,12,7451,this-search,11,10,11,13,103,1,13,1,0,0,0.036392667,0.10195325,0.04251954,0.03635475,0.639313416,0.120686417,214679552
regular-weak,first-stage-float32,monolithic,24,14902,this-search,8,6,9,13,103,0,13,1,0,0,0.113062542,0.252883708,0.112363749,0.113413083,28.088010833,26.785259,216858624
regular-weak,first-stage-float32,assembled,24,14902,sum-of-components,14,10,15,13,103,0,13,1,0,0,0.10950475,0,0,0.118252917,28.115766708,26.819073417,216858624
regular-weak,first-stage-float32,00:baseline:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.036411667,0.053295542,0.023138374000000003,0.036340833,0.612874583,0.10995875,216875008
regular-weak,first-stage-float32,01:weak-1e-4:1,12,7451,this-search,8,6,9,13,103,1,13,1,0,0,0.036208167,0.081838625,0.035535208,0.036542417,0.6403505,0.120422125,216875008
regular-weak,narrower-float32,monolithic,24,14902,this-search,10,9,10,13,103,0,13,1,0,0,0.113584125,0.291478375,0.12365245899999999,0.113234083,28.1990875,26.872516708,216891392
regular-weak,narrower-float32,assembled,24,14902,sum-of-components,17,13,17,13,103,0,13,1,0,0,0.109273083,0,0,0.118027084,28.161940458,26.851961791,216891392
