dataset,variant,left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
near-0.10,guarded-log,narrower-double,wider-double,6.908054375445419e-16,3.3306690738754696e-16,True,True
near-0.10,guarded-log,narrower-double,mixed-double,1.0150610510858558e-15,2.220446049250313e-16,True,True
near-0.10,guarded-log,wider-double,mixed-double,9.868649107779168e-16,4.440892098500626e-16,True,True
near-0.10,guarded-log,first-stage-float32,narrower-float32,2.7914178068895687e-15,1.1102230246251565e-15,True,True
near-0.10,guarded-log,first-stage-float32,wider-float32,1.6494742397479248e-15,2.220446049250313e-16,True,True
near-0.10,guarded-log,first-stage-float32,mixed-float32,2.283887408881742e-15,3.3306690738754696e-16,True,True
near-0.10,guarded-log,narrower-float32,wider-float32,4.314009337920236e-15,1.3322676295501878e-15,True,True
near-0.10,guarded-log,narrower-float32,mixed-float32,4.948422475849679e-15,1.3322676295501878e-15,True,True
near-0.10,guarded-log,wider-float32,mixed-float32,6.344131691338183e-16,2.220446049250313e-16,True,True
near-0.02,legacy,first-stage-double,narrower-double,1.0,9.367701369925653,False,False
near-0.02,legacy,first-stage-double,wider-double,6.4710142006723125e-15,6.661338147750939e-16,False,True
near-0.02,legacy,first-stage-double,mixed-double,1.649474208014519e-15,1.3322676295501878e-15,False,True
near-0.02,legacy,narrower-double,wider-double,1.0,9.367701369925651,False,False
near-0.02,legacy,narrower-double,mixed-double,1.0,9.367701369925651,False,False
near-0.02,legacy,wider-double,mixed-double,5.075305255429284e-15,6.661338147750939e-16,False,True
near-0.02,legacy,first-stage-float32,narrower-float32,1.0,9.367700075495888,False,False
near-0.02,legacy,first-stage-float32,wider-float32,1.8797656326922995e-12,7.129852264142755e-13,False,True
near-0.02,legacy,first-stage-float32,mixed-float32,2.4221887227914115e-13,9.126033262418787e-14,False,True
near-0.02,legacy,narrower-float32,wider-float32,1.0,9.367700075495177,False,False
near-0.02,legacy,narrower-float32,mixed-float32,1.0,9.367700075495797,False,False
near-0.02,legacy,wider-float32,mixed-float32,1.637546760413555e-12,6.217248937900877e-13,False,True
near-0.02,guarded,first-stage-double,narrower-double,3.5527136788004954e-15,1.3322676295501878e-15,False,True
near-0.02,guarded,first-stage-double,wider-double,6.4710142006723125e-15,6.661338147750939e-16,False,True
near-0.02,guarded,first-stage-double,mixed-double,1.649474208014519e-15,1.3322676295501878e-15,False,True
near-0.02,guarded,narrower-double,wider-double,3.2989484160290402e-15,6.661338147750939e-16,False,True
near-0.02,guarded,narrower-double,mixed-double,1.90323947078598e-15,1.1102230246251565e-16,False,True
near-0.02,guarded,wider-double,mixed-double,5.075305255429284e-15,6.661338147750939e-16,False,True
near-0.02,guarded,first-stage-float32,narrower-float32,2.2588539996771734e-11,7.957412506698347e-12,False,True
near-0.02,guarded,first-stage-float32,wider-float32,1.8797656326922995e-12,7.129852264142755e-13,False,True
near-0.02,guarded,first-stage-float32,mixed-float32,2.4221887227914115e-13,9.126033262418787e-14,False,True
near-0.02,guarded,narrower-float32,wider-float32,2.0828677449244123e-11,7.2444272802840715e-12,False,True
