dataset,variant,case,legacy_joint_qualified,regular_qualified,failures,unavailable,derivative_status,local_correction_source,replay_passed,oracle_recovered,float32_accuracy_passed,rss,stop_reason
near-0.10,guarded,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,1.8860008130861327e-27,native-lm-stop
near-0.10,guarded,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,2.4705574913280837e-27,native-lm-stop
near-0.10,guarded,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,1.406214850524532e-27,native-lm-stop
near-0.10,guarded,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,1.7616339194323576e-27,native-lm-stop
near-0.10,guarded,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.211964656679018e-12,native-lm-stop
near-0.10,guarded,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.21196465544646e-12,native-lm-stop
near-0.10,guarded,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.211964655967781e-12,native-lm-stop
near-0.10,guarded,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.2119646540928165e-12,native-lm-stop
near-0.10,guarded-log,first-stage-double,True,True,,,verified,legacy-double-QR,True,True,False,1.8860008130861327e-27,native-lm-stop
near-0.10,guarded-log,narrower-double,True,True,,,verified,legacy-double-QR,True,True,False,1.96842506148757e-27,native-lm-stop
near-0.10,guarded-log,wider-double,True,True,,,verified,legacy-double-QR,True,True,False,2.2151986267030453e-27,native-lm-stop
near-0.10,guarded-log,mixed-double,True,True,,,verified,legacy-double-QR,True,True,False,2.5127159851334653e-27,native-lm-stop
near-0.10,guarded-log,first-stage-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.211964656679018e-12,native-lm-stop
near-0.10,guarded-log,narrower-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.2119646532991165e-12,native-lm-stop
near-0.10,guarded-log,wider-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.211964656092959e-12,native-lm-stop
near-0.10,guarded-log,mixed-float32,True,True,,,verified,legacy-double-QR,True,False,True,6.211964654133192e-12,native-lm-stop
near-0.02,legacy,first-stage-double,False,True,,,verified,independent-100-digit-QR,True,True,False,1.384133339444469e-27,native-lm-stop
near-0.02,legacy,narrower-double,False,False,endpoint_replay;endpoint_trust;search_completed,inner;b_gradient;local_correction;identified;derivative,unavailable,legacy-double-QR,False,False,False,0.2063440874450564,inner-kkt-failed
near-0.02,legacy,wider-double,False,True,,,verified,independent-100-digit-QR,True,True,False,1.3775392181569793e-27,native-lm-stop
near-0.02,legacy,mixed-double,False,True,,,verified,independent-100-digit-QR,True,True,False,2.4261864784671468e-27,native-lm-stop
near-0.02,legacy,first-stage-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458958099899e-12,native-lm-stop
near-0.02,legacy,narrower-float32,False,False,endpoint_replay;endpoint_trust;search_completed,inner;b_gradient;local_correction;identified;derivative,unavailable,legacy-double-QR,False,False,False,0.20634399500768405,inner-kkt-failed
near-0.02,legacy,wider-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458956714388e-12,native-lm-stop
near-0.02,legacy,mixed-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458958025575e-12,native-lm-stop
near-0.02,guarded,first-stage-double,False,True,,,verified,independent-100-digit-QR,True,True,False,1.384133339444469e-27,native-lm-stop
near-0.02,guarded,narrower-double,False,True,,,verified,independent-100-digit-QR,True,True,False,2.4703545366526142e-27,native-lm-stop
