dataset,variant,case,phase,seconds,process_peak_rss_bytes,included_in
weak-1e-2,legacy,mixed-float32,search reference,0.052811335,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,mixed-float32,new endpoint audit,0.018274125,998047744,audit process
weak-1e-2,legacy,mixed-float32,high precision,0,,new endpoint audit
weak-1e-2,guarded,first-stage-double,search,0.240212375,1206157312,fit total
weak-1e-2,guarded,first-stage-double,endpoint_audit,0.056013584,1206157312,fit total
weak-1e-2,guarded,first-stage-double,search reference,0.10140154399999998,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,first-stage-double,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,first-stage-double,high precision,0,,new endpoint audit
weak-1e-2,guarded,narrower-double,search,0.106459333,1206157312,fit total
weak-1e-2,guarded,narrower-double,endpoint_audit,0.055498375,1206157312,fit total
weak-1e-2,guarded,narrower-double,search reference,0.04753462700000001,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,narrower-double,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,narrower-double,high precision,0,,new endpoint audit
weak-1e-2,guarded,wider-double,search,0.145402833,1206157312,fit total
weak-1e-2,guarded,wider-double,endpoint_audit,0.055481667,1206157312,fit total
weak-1e-2,guarded,wider-double,search reference,0.059660958,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,wider-double,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,wider-double,high precision,0,,new endpoint audit
weak-1e-2,guarded,mixed-double,search,0.11955,1206157312,fit total
weak-1e-2,guarded,mixed-double,endpoint_audit,0.055148416,1206157312,fit total
weak-1e-2,guarded,mixed-double,search reference,0.052340416,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,mixed-double,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,mixed-double,high precision,0,,new endpoint audit
weak-1e-2,guarded,first-stage-float32,search,0.240275667,1206157312,fit total
weak-1e-2,guarded,first-stage-float32,endpoint_audit,0.056682,1206157312,fit total
weak-1e-2,guarded,first-stage-float32,search reference,0.10169029100000002,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,first-stage-float32,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,first-stage-float32,high precision,0,,new endpoint audit
weak-1e-2,guarded,narrower-float32,search,0.106928292,1206157312,fit total
weak-1e-2,guarded,narrower-float32,endpoint_audit,0.0566615,1206157312,fit total
weak-1e-2,guarded,narrower-float32,search reference,0.047330623999999995,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,narrower-float32,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,narrower-float32,high precision,0,,new endpoint audit
weak-1e-2,guarded,wider-float32,search,0.146405125,1206157312,fit total
weak-1e-2,guarded,wider-float32,endpoint_audit,0.055854209,1206157312,fit total
weak-1e-2,guarded,wider-float32,search reference,0.05970812500000001,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,wider-float32,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,wider-float32,high precision,0,,new endpoint audit
weak-1e-2,guarded,mixed-float32,search,0.119550792,1206157312,fit total
weak-1e-2,guarded,mixed-float32,endpoint_audit,0.055381,1206157312,fit total
weak-1e-2,guarded,mixed-float32,search reference,0.05231304,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded,mixed-float32,new endpoint audit,0,998047744,audit process
weak-1e-2,guarded,mixed-float32,high precision,0,,new endpoint audit
weak-1e-2,guarded-log,first-stage-double,search,0.127430541,1206157312,fit total
weak-1e-2,guarded-log,first-stage-double,endpoint_audit,0.055511625,1206157312,fit total
weak-1e-2,guarded-log,first-stage-double,search reference,0.053379082999999994,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,first-stage-double,new endpoint audit,0.021052167,998047744,audit process
weak-1e-2,guarded-log,first-stage-double,high precision,0,,new endpoint audit
weak-1e-2,guarded-log,narrower-double,search,0.109116667,1206157312,fit total
weak-1e-2,guarded-log,narrower-double,endpoint_audit,0.05587825,1206157312,fit total
weak-1e-2,guarded-log,narrower-double,search reference,0.048085458,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,narrower-double,new endpoint audit,0.016694958,998047744,audit process
weak-1e-2,guarded-log,narrower-double,high precision,0,,new endpoint audit
weak-1e-2,guarded-log,wider-double,search,0.14657425,1206157312,fit total
weak-1e-2,guarded-log,wider-double,endpoint_audit,0.055655208,1206157312,fit total
weak-1e-2,guarded-log,wider-double,search reference,0.059554500999999996,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,wider-double,new endpoint audit,0.017167792,998047744,audit process
weak-1e-2,guarded-log,wider-double,high precision,0,,new endpoint audit
weak-1e-2,guarded-log,mixed-double,search,0.12094725,1206157312,fit total
weak-1e-2,guarded-log,mixed-double,endpoint_audit,0.055725708,1206157312,fit total
weak-1e-2,guarded-log,mixed-double,search reference,0.053349582,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,mixed-double,new endpoint audit,0.027186041,998047744,audit process
weak-1e-2,guarded-log,mixed-double,high precision,0,,new endpoint audit
weak-1e-2,guarded-log,first-stage-float32,search,0.1276295,1206157312,fit total
weak-1e-2,guarded-log,first-stage-float32,endpoint_audit,0.055609375,1206157312,fit total
weak-1e-2,guarded-log,first-stage-float32,search reference,0.054372375,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,first-stage-float32,new endpoint audit,0.019050792,998047744,audit process
weak-1e-2,guarded-log,first-stage-float32,high precision,0,,new endpoint audit
weak-1e-2,guarded-log,narrower-float32,search,0.107858875,1206157312,fit total
weak-1e-2,guarded-log,narrower-float32,endpoint_audit,0.056148042,1206157312,fit total
weak-1e-2,guarded-log,narrower-float32,search reference,0.047136415,1206157312,search; RSS is search-process high-water mark
weak-1e-2,guarded-log,narrower-float32,new endpoint audit,0.017205792,998047744,audit process
weak-1e-2,guarded-log,narrower-float32,high precision,0,,new endpoint audit
