dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-zero,narrower-float32,01:zero-signal:1,12,7451,this-search,27,14,29,13,103,1,13,0,0,0,0.073561541,0.482774709,0.23222333,0.084454083,1.065225666,0,93257728
regular-zero,wider-float32,monolithic,24,14902,this-search,23,11,24,13,103,0,13,0,0,0,0.273268791,1.135572,0.59863396,0.20933975,2.86010325,0,93552640
regular-zero,wider-float32,assembled,24,14902,sum-of-components,35,23,35,13,103,0,13,0,0,0,0.246770375,0,0,0.231182917,2.783809625,0,88997888
regular-zero,wider-float32,00:baseline:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.059041625,0.135410792,0.054935748,0.078680083,0.022179125,0,93552640
regular-zero,wider-float32,01:zero-signal:1,12,7451,this-search,27,16,27,13,103,1,13,0,0,0,0.086754375,0.48625,0.24160554100000003,0.077989791,1.211313625,0,93552640
regular-zero,mixed-float32,monolithic,24,14902,this-search,33,19,34,13,103,0,13,0,0,0,0.246042583,1.568966167,0.7972978350000001,0.238457333,2.723369667,0,93601792
regular-zero,mixed-float32,assembled,24,14902,sum-of-components,37,24,38,13,103,0,13,0,0,0,0.224982875,0,0,0.234993625,2.933358458,0,89047040
regular-zero,mixed-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.082156375,0.118719,0.048900584,0.06889075,0.01684275,0,94289920
regular-zero,mixed-float32,01:zero-signal:1,12,7451,this-search,30,19,31,13,103,1,13,0,0,0,0.069785625,0.498652209,0.247857249,0.057500583,1.10896925,0,94289920
weak-1e-2,first-stage-double,monolithic,12,7451,this-search,17,16,17,13,1,0,0,0,0,0,2.75e-06,0.317314125,0.138835499,0.074066875,0.024016125,0,59293696
weak-1e-2,first-stage-double,assembled,12,7451,sum-of-components,17,16,17,13,1,0,0,0,0,0,1.4959e-05,0,0,0.081530792,0.017604791,0,41615360
weak-1e-2,first-stage-double,1,12,7451,this-search,17,16,17,13,1,1,0,0,0,0,4.375e-06,0.30298125,0.132399915,0.075889,0.020724583,0,59654144
weak-1e-2,narrower-double,monolithic,12,7451,this-search,8,7,8,13,1,0,0,0,0,0,4.042e-06,0.150217875,0.061114043,0.071444958,0.020561333,0,60227584
weak-1e-2,narrower-double,assembled,12,7451,sum-of-components,8,7,8,13,1,0,0,0,0,0,3.333e-06,0,0,0.080469541,0.01846025,0,41680896
weak-1e-2,narrower-double,1,12,7451,this-search,8,7,8,13,1,1,0,0,0,0,3.833e-06,0.145884917,0.06687358199999999,0.070061167,0.014671042,0,60227584
weak-1e-2,wider-double,monolithic,12,7451,this-search,10,9,10,13,1,0,0,0,0,0,3.667e-06,0.185164667,0.087311583,0.07504275,0.026108125,0,60407808
weak-1e-2,wider-double,assembled,12,7451,sum-of-components,10,9,10,13,1,0,0,0,0,0,3.167e-06,0,0,0.071927542,0.017188625,0,43057152
weak-1e-2,wider-double,1,12,7451,this-search,10,9,10,13,1,1,0,0,0,0,3.75e-06,0.1905365,0.073857166,0.06600375,0.019722583,0,60407808
weak-1e-2,mixed-double,monolithic,12,7451,this-search,9,8,9,13,1,0,0,0,0,0,4.209e-06,0.155554208,0.062924499,0.070573084,0.018396792,0,60407808
weak-1e-2,mixed-double,assembled,12,7451,sum-of-components,9,8,9,13,1,0,0,0,0,0,4.041e-06,0,0,0.081796833,0.027918208,0,43892736
