dataset,case,initialization_valid,execution_complete,joint_qualified,qualification_failure,endpoint_identified,known_unidentified,oracle_recovered,float32_accuracy_passed,independent_endpoint_replay_passed,rss,residual_rmse,projected_kkt,b_gradient_inf,local_correction_inf,profile_evaluations,accepted_updates,A_bias,A_rmse,A_p99,A_max,A_below_0_01,B_bias,B_rmse,B_p99,B_max,B_below_0_01,C_bias,C_rmse,C_p99,C_max,C_below_0_01
zero-signal,first-stage-double,True,True,False,derivative-unverified,False,True,,,True,1.4190542161309997e-27,4.364075068435372e-16,2.498001805406602e-16,7.048806696829339e-17,1.9376179864607319e-16,6,5,1.0568243346885562e-15,3.3492165504505392e-15,7.993605777301127e-15,7.993605777301127e-15,12,0.016429486625826255,0.056913411156408925,0.19715383950991527,0.19715383950991527,11,-1.5106435769447644e-17,2.740973964503598e-16,7.216449660063518e-16,7.216449660063518e-16,12
zero-signal,narrower-double,True,True,False,derivative-unverified,False,True,,,True,1.8516038014990337e-27,4.985018222328093e-16,2.636779683484747e-16,7.12846604152211e-17,1.365247592688921e-16,7,5,5.924236822924134e-17,3.1636029237807167e-15,7.105427357601002e-15,7.105427357601002e-15,12,0.04515652774316927,0.15642680068912548,0.5418783329180312,0.5418783329180312,11,6.106342639548075e-17,2.357525840811166e-16,6.106226635438361e-16,6.106226635438361e-16,12
zero-signal,wider-double,True,True,False,derivative-unverified,False,True,,,True,1.9362967311004623e-27,5.097751656507221e-16,2.498001805406602e-16,8.016399476260217e-17,1.5828459512339739e-16,8,7,-4.064822807116189e-16,3.555101384906889e-15,7.993605777301127e-15,7.993605777301127e-15,12,0.024706730732159496,0.08558662583404733,0.296480768785914,0.296480768785914,11,7.050240675902227e-17,3.7702587128755297e-16,1.0824674490095276e-15,1.0824674490095276e-15,12
zero-signal,mixed-double,True,True,False,derivative-unverified,False,True,,,True,1.4274201828011356e-27,4.3769202627486844e-16,1.942890293094024e-16,6.073936826269395e-17,1.562989912896318e-16,7,5,1.2582527612418441e-15,3.543449742097067e-15,7.993605777301127e-15,7.993605777301127e-15,12,0.06371870159729635,0.22072805711767488,0.7646244191675561,0.7646244191675561,11,-3.1902589041143724e-17,2.6136003459893933e-16,5.828670879282072e-16,5.828670879282072e-16,12
zero-signal,first-stage-float32,True,True,False,derivative-unverified,True,True,,,True,5.6558474904113984e-12,2.7551266230272308e-08,2.220446049250313e-16,4.6694389761879296e-17,0.002775463420941696,20,9,-3.5836823127359825e-09,3.349134915134521e-08,9.60760973001129e-08,9.60760973001129e-08,12,0.018872288510352372,0.06537552546079355,0.2264674633392143,0.2264674633392143,11,-1.3257669939632843e-10,1.6027674120006832e-09,3.228576433977892e-09,3.228576433977892e-09,12
zero-signal,narrower-float32,True,True,False,derivative-unverified,True,True,,,True,5.655847488797611e-12,2.7551266226341697e-08,1.6653345369377348e-16,7.674518337112987e-17,6.36490181243803e-05,25,13,-3.5879719295887602e-09,3.348604310075652e-08,9.607666662247993e-08,9.607666662247993e-08,12,0.018837217647269557,0.06525403642735701,0.22604661298226525,0.22604661298226525,11,-1.3245560305467806e-10,1.6026943346189232e-09,3.2281935458122746e-09,3.2281935458122746e-09,12
zero-signal,wider-float32,True,True,False,derivative-unverified,True,True,,,True,5.6558474858499804e-12,2.755126621916232e-08,1.3877787807814457e-16,5.093196164477726e-17,0.0008364070869402124,29,17,-3.5893977444259257e-09,3.348428504551935e-08,9.607685313994807e-08,9.607685313994807e-08,12,0.018825591041345555,0.0652137606830014,0.2259070937111921,0.2259070937111921,11,-1.3241534704250287e-10,1.6026699200701456e-09,3.2280668971207405e-09,3.2280668971207405e-09,12
zero-signal,mixed-float32,True,True,False,derivative-unverified,True,True,,,True,5.655847486390303e-12,2.7551266220478347e-08,3.3306690738754696e-16,1.8017024259302066e-16,0.0002052238165803878,31,19,-3.5877488839220638e-09,3.3486318321810106e-08,9.607663198352157e-08,9.607663198352157e-08,12,0.01883904701415677,0.06526037354014505,0.2260685653849096,0.2260685653849096,11,-1.3246188588150122e-10,1.6026982005972396e-09,3.2282139739159277e-09,3.2282139739159277e-09,12
near-0.10,first-stage-double,True,True,True,none,True,False,True,False,True,1.8860008130861327e-27,5.102836992216256e-16,2.7755575615628914e-16,1.2910086086814908e-16,1.648201753523544e-16,7,5,-7.401486830834377e-16,4.8512215306140695e-15,9.769962616701378e-15,9.769962616701378e-15,12,1.3877787807814457e-17,4.239734207189668e-17,5.551115123125783e-17,5.551115123125783e-17,12,4.163336342344337e-17,2.2463161964190524e-16,4.440892098500626e-16,4.440892098500626e-16,12
near-0.10,narrower-double,True,True,True,none,True,False,True,False,True,2.4705574913280837e-27,5.840341466776114e-16,2.220446049250313e-16,1.104576982621688e-16,3.085885464604211e-16,12,11,-1.8503717077085944e-15,4.748502312052428e-15,7.105427357601002e-15,7.105427357601002e-15,12,1.3877787807814457e-17,6.206335383118183e-17,1.1102230246251565e-16,1.1102230246251565e-16,12,7.864079757761526e-17,2.435541875787129e-16,4.718447854656915e-16,4.718447854656915e-16,12
near-0.10,wider-double,True,True,True,none,True,False,True,False,True,1.406214850524532e-27,4.4062242611721726e-16,1.6653345369377348e-16,6.870438884527342e-17,2.4432727384216914e-16,10,9,-1.1842378929335002e-15,6.793258640404412e-15,1.509903313490213e-14,1.509903313490213e-14,12,0.0,4.5324665183683945e-17,1.1102230246251565e-16,1.1102230246251565e-16,12,5.088522196198634e-17,2.2633986948989007e-16,3.0531133177191805e-16,3.0531133177191805e-16,12
